VariableCode,RegionCode,YearCode,AggValue
rgdpna,ARE,1986,134769.51562500000000000
rgdpna,ARE,1987,143204.10937500000000000
rgdpna,ARE,1988,139769.71875000000000000
rgdpna,ARE,1989,158683.15625000000000000
rgdpna,ARE,1990,186850.89062500000000000
rgdpna,ARE,1991,188458.00000000000000000
rgdpna,ARE,1992,194762.45312500000000000
rgdpna,ARE,1993,197218.60937500000000000
rgdpna,ARE,1994,214183.98437500000000000
rgdpna,ARE,1995,231786.57812500000000000
rgdpna,ARE,1996,245369.78125000000000000
rgdpna,ARE,1997,266596.43750000000000000
rgdpna,ARE,1998,270941.78125000000000000
rgdpna,ARE,1999,282822.84375000000000000
rgdpna,ARE,2000,317374.62500000000000000
rgdpna,ARE,2001,321740.62500000000000000
rgdpna,ARE,2002,329569.75000000000000000
rgdpna,ARE,2003,358573.78125000000000000
rgdpna,ARE,2004,392876.87500000000000000
rgdpna,ARE,2005,411951.56250000000000000
rgdpna,ARE,2006,452476.37500000000000000
rgdpna,ARE,2007,466885.00000000000000000
rgdpna,ARE,2008,481787.25000000000000000
rgdpna,ARE,2009,456527.50000000000000000
rgdpna,ARE,2010,463993.78125000000000000
rgdpna,ARE,2011,496149.75000000000000000
rgdpna,ARE,2012,518399.93750000000000000
rgdpna,ARE,2013,544596.43750000000000000
rgdpna,ARE,2014,567928.93750000000000000
rgdpna,ARE,2015,596926.68750000000000000
rgdpna,ARE,2016,615198.50000000000000000
rgdpna,ARE,2017,629800.50000000000000000
rgdpna,ARE,2018,637294.25000000000000000
rgdpna,ARE,2019,647986.25000000000000000
rgdpna,ARG,1950,196688.45312500000000000
rgdpna,ARG,1951,208305.20312500000000000
rgdpna,ARG,1952,195898.25000000000000000
rgdpna,ARG,1953,204164.87500000000000000
rgdpna,ARG,1954,210812.56250000000000000
rgdpna,ARG,1955,225537.46875000000000000
rgdpna,ARG,1956,231485.48437500000000000
rgdpna,ARG,1957,240381.42187500000000000
rgdpna,ARG,1958,256257.31250000000000000
rgdpna,ARG,1959,243846.95312500000000000
rgdpna,ARG,1960,270342.00000000000000000
rgdpna,ARG,1961,279138.93750000000000000
rgdpna,ARG,1962,280924.87500000000000000
rgdpna,ARG,1963,270609.31250000000000000
rgdpna,ARG,1964,291641.65625000000000000
rgdpna,ARG,1965,318469.59375000000000000
rgdpna,ARG,1966,319221.28125000000000000
rgdpna,ARG,1967,328118.75000000000000000
rgdpna,ARG,1968,345067.46875000000000000
rgdpna,ARG,1969,376695.96875000000000000
rgdpna,ARG,1970,388737.78125000000000000
rgdpna,ARG,1971,403358.84375000000000000
rgdpna,ARG,1972,411739.43750000000000000
rgdpna,ARG,1973,427155.53125000000000000
rgdpna,ARG,1974,450247.18750000000000000
rgdpna,ARG,1975,447577.00000000000000000
rgdpna,ARG,1976,447527.03125000000000000
rgdpna,ARG,1977,476099.06250000000000000
rgdpna,ARG,1978,460762.96875000000000000
rgdpna,ARG,1979,493095.28125000000000000
rgdpna,ARG,1980,500260.78125000000000000
rgdpna,ARG,1981,473161.90625000000000000
rgdpna,ARG,1982,458204.09375000000000000
rgdpna,ARG,1983,477047.06250000000000000
rgdpna,ARG,1984,486614.21875000000000000
rgdpna,ARG,1985,452764.90625000000000000
rgdpna,ARG,1986,485108.68750000000000000
rgdpna,ARG,1987,497395.50000000000000000
rgdpna,ARG,1988,487682.62500000000000000
rgdpna,ARG,1989,453493.37500000000000000
rgdpna,ARG,1990,447422.84375000000000000
rgdpna,ARG,1991,494384.53125000000000000
rgdpna,ARG,1992,545328.43750000000000000
rgdpna,ARG,1993,579420.62500000000000000
rgdpna,ARG,1994,613236.93750000000000000
rgdpna,ARG,1995,595788.81250000000000000
rgdpna,ARG,1996,628716.12500000000000000
rgdpna,ARG,1997,679711.62500000000000000
rgdpna,ARG,1998,705881.75000000000000000
rgdpna,ARG,1999,681984.43750000000000000
rgdpna,ARG,2000,676603.68750000000000000
rgdpna,ARG,2001,646773.31250000000000000
rgdpna,ARG,2002,576310.62500000000000000
rgdpna,ARG,2003,627239.50000000000000000
rgdpna,ARG,2004,683876.50000000000000000
rgdpna,ARG,2005,744411.00000000000000000
rgdpna,ARG,2006,804314.81250000000000000
rgdpna,ARG,2007,876764.68750000000000000
rgdpna,ARG,2008,912337.06250000000000000
rgdpna,ARG,2009,858340.18750000000000000
rgdpna,ARG,2010,945250.56250000000000000
rgdpna,ARG,2011,1002002.93750000000000000
rgdpna,ARG,2012,991718.12500000000000000
rgdpna,ARG,2013,1015572.18750000000000000
rgdpna,ARG,2014,990054.75000000000000000
rgdpna,ARG,2015,1017094.75000000000000000
rgdpna,ARG,2016,995935.81250000000000000
rgdpna,ARG,2017,1022513.25000000000000000
rgdpna,ARG,2018,997136.62500000000000000
rgdpna,ARG,2019,975569.00000000000000000
rgdpna,ARM,1990,19326.20703125000000000
rgdpna,ARM,1991,17069.14453125000000000
